,from,to,min,max,mean,stDev,sampleCount,noDataCount,name,month
46,2022-02-16T00:00:00Z,2022-02-17T00:00:00Z,,,,,1,1,Amsterdam,2
47,2022-02-17T00:00:00Z,2022-02-18T00:00:00Z,5.279680772218853e-05,5.279680772218853e-05,5.279680772218853e-05,0.0,1,0,Amsterdam,2
48,2022-02-18T00:00:00Z,2022-02-19T00:00:00Z,,,,,1,1,Amsterdam,2
49,2022-02-19T00:00:00Z,2022-02-20T00:00:00Z,,,,,1,1,Amsterdam,2
50,2022-02-20T00:00:00Z,2022-02-21T00:00:00Z,,,,,1,1,Amsterdam,2
51,2022-02-21T00:00:00Z,2022-02-22T00:00:00Z,,,,,1,1,Amsterdam,2
52,2022-02-23T00:00:00Z,2022-02-24T00:00:00Z,0.00014487114094663411,0.00014487114094663411,0.00014487114094663411,0.0,1,0,Amsterdam,2
53,2022-02-24T00:00:00Z,2022-02-25T00:00:00Z,,,,,1,1,Amsterdam,2
54,2022-02-25T00:00:00Z,2022-02-26T00:00:00Z,2.5082379579544067e-05,2.5082379579544067e-05,2.5082379579544067e-05,0.0,1,0,Amsterdam,2
55,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,0.0001691689103608951,0.0001691689103608951,0.0001691689103608951,0.0,1,0,Amsterdam,2
56,2022-02-27T00:00:00Z,2022-02-28T00:00:00Z,0.00010619754903018475,0.00010619754903018475,0.00010619754903018475,0.0,1,0,Amsterdam,2
57,2022-02-28T00:00:00Z,2022-03-01T00:00:00Z,8.796098700258881e-05,8.796098700258881e-05,8.796098700258881e-05,0.0,1,0,Amsterdam,2
58,2022-03-01T00:00:00Z,2022-03-02T00:00:00Z,,,,,1,1,Amsterdam,3
59,2022-03-02T00:00:00Z,2022-03-03T00:00:00Z,0.00022660382091999054,0.00022660382091999054,0.00022660382091999054,0.0,1,0,Amsterdam,3
60,2022-03-03T00:00:00Z,2022-03-04T00:00:00Z,0.0001328394137090072,0.0001328394137090072,0.0001328394137090072,0.0,1,0,Amsterdam,3
61,2022-03-04T00:00:00Z,2022-03-05T00:00:00Z,0.00018321667448617518,0.00018321667448617518,0.00018321667448617518,0.0,1,0,Amsterdam,3
62,2022-03-05T00:00:00Z,2022-03-06T00:00:00Z,0.00016505879466421902,0.00016505879466421902,0.00016505879466421902,0.0,1,0,Amsterdam,3
63,2022-03-06T00:00:00Z,2022-03-07T00:00:00Z,3.098001980106346e-05,3.098001980106346e-05,3.098001980106346e-05,0.0,1,0,Amsterdam,3
64,2022-03-07T00:00:00Z,2022-03-08T00:00:00Z,0.00011130673374282196,0.00011130673374282196,0.00011130673374282196,0.0,1,0,Amsterdam,3
65,2022-03-08T00:00:00Z,2022-03-09T00:00:00Z,0.00013366669008973986,0.00013366669008973986,0.00013366669008973986,0.0,1,0,Amsterdam,3
66,2022-03-09T00:00:00Z,2022-03-10T00:00:00Z,0.00013946511899121106,0.00013946511899121106,0.00013946511899121106,0.0,1,0,Amsterdam,3
67,2022-03-10T00:00:00Z,2022-03-11T00:00:00Z,0.0001132675024564378,0.0001132675024564378,0.0001132675024564378,0.0,1,0,Amsterdam,3
68,2022-03-11T00:00:00Z,2022-03-12T00:00:00Z,0.0001602819247636944,0.0001602819247636944,0.0001602819247636944,0.0,1,0,Amsterdam,3
69,2022-03-12T00:00:00Z,2022-03-13T00:00:00Z,0.00012777347001247108,0.00012777347001247108,0.00012777347001247108,0.0,1,0,Amsterdam,3
70,2022-03-13T00:00:00Z,2022-03-14T00:00:00Z,0.00011019078374374658,0.00011019078374374658,0.00011019078374374658,0.0,1,0,Amsterdam,3
71,2022-03-14T00:00:00Z,2022-03-15T00:00:00Z,0.00010010535334004089,0.00010010535334004089,0.00010010535334004089,0.0,1,0,Amsterdam,3
72,2022-03-15T00:00:00Z,2022-03-16T00:00:00Z,0.00016405951464548707,0.00016405951464548707,0.00016405951464548707,0.0,1,0,Amsterdam,3
73,2022-03-16T00:00:00Z,2022-03-17T00:00:00Z,,,,,1,1,Amsterdam,3
74,2022-03-17T00:00:00Z,2022-03-18T00:00:00Z,9.398993279319257e-05,9.398993279319257e-05,9.398993279319257e-05,0.0,1,0,Amsterdam,3
75,2022-03-18T00:00:00Z,2022-03-19T00:00:00Z,9.323656558990479e-05,9.323656558990479e-05,9.323656558990479e-05,0.0,1,0,Amsterdam,3
